date,OPEN,CLOSE,HIGH,LOW,VOLUME
2019-01-03,186.37,186.99,191.5,186.0,40249190
2019-01-04,188.0,190.99,190.99,187.77,32583360
2019-01-08,191.65,191.24,193.18,190.37,38856560
2019-01-09,192.71,197.0,197.0,192.1,70707820
2019-01-10,196.25,196.75,197.64,195.03,56378780
2019-01-11,197.11,196.8,198.96,195.61,63811140
2019-01-14,195.7,196.8,197.44,194.0,44774070
2019-01-15,197.4,198.0,198.84,195.91,53217180
2019-01-16,198.64,201.26,201.3,198.02,62469270
2019-01-17,201.66,203.32,203.55,201.05,59989420
2019-01-18,204.6,208.44,208.44,203.83,74335240
2019-01-21,208.91,207.17,210.2,207.17,55523010
2019-01-22,206.66,207.95,208.88,205.63,51361560
2019-01-23,207.78,210.4,212.0,207.52,79765560
2019-01-24,210.4,212.2,213.43,208.55,78537190
2019-01-25,212.76,212.0,214.14,211.01,58844660
2019-01-28,212.0,209.7,213.3,207.63,56537300
2019-01-29,209.71,213.61,214.49,206.91,63963210
2019-01-30,213.8,213.14,215.7,212.22,59319900
2019-01-31,215.17,217.9,218.1,214.67,80344740
2019-02-01,218.0,216.29,218.7,215.01,55512060
2019-02-04,216.25,215.5,217.14,215.06,40925530
2019-02-05,216.0,217.85,218.55,214.61,46690970
2019-02-06,217.9,216.59,218.15,215.41,46155500
2019-02-07,216.0,211.01,216.65,210.6,69248500
2019-02-08,210.0,210.43,211.93,208.7,51799020
2019-02-11,211.0,214.0,214.72,210.8,49657780
2019-02-12,214.8,219.1,219.45,214.6,73724050
2019-02-13,219.62,213.9,220.7,213.1,85228940
2019-02-14,208.5,204.43,209.85,201.7,155830530
2019-02-15,205.92,208.0,209.0,205.52,79213270
2019-02-18,208.83,204.19,209.73,203.2,76658220
2019-02-19,203.6,202.08,205.6,201.1,66705090
2019-02-20,203.9,206.89,206.89,203.23,66813180
2019-02-21,207.55,203.41,207.87,202.3,68159040
2019-02-22,203.61,205.25,206.1,203.03,45768640
2019-02-25,205.5,205.86,208.6,204.2,70929780
2019-02-26,204.8,205.8,205.8,202.9,50829020
2019-02-27,206.05,205.4,206.9,203.9,54146260
2019-02-28,205.0,207.8,208.89,204.16,62340230
2019-03-01,208.48,206.54,209.0,206.1,46106110
2019-03-04,207.0,205.5,207.5,205.25,31661100
2019-03-05,204.9,202.92,204.9,202.25,46422920
2019-03-06,202.74,205.0,205.7,202.6,52940220
2019-03-07,205.1,203.95,206.67,203.5,46079750
2019-03-11,203.2,205.25,205.6,202.56,42484580
2019-03-12,206.5,205.1,206.89,204.4,42292620
2019-03-13,204.69,206.0,206.0,203.8,28536880
2019-03-14,205.6,203.66,206.38,203.5,43879390
2019-03-15,204.2,203.55,204.95,203.55,35953260
2019-03-18,204.25,205.9,206.14,204.11,40854520
2019-03-19,206.4,207.7,208.31,205.93,47791920
2019-03-20,207.6,209.8,209.84,206.4,55535200
2019-03-21,210.25,210.61,212.29,209.77,67037150
2019-03-22,210.61,207.7,211.29,206.7,49421400
2019-03-25,206.63,214.0,214.2,205.55,108111450
2019-03-26,214.7,218.0,218.46,213.13,81466100
2019-03-27,218.2,214.1,219.25,214.1,71996140
2019-03-28,214.15,215.07,215.95,213.72,47565550
2019-03-29,215.99,214.42,218.19,214.4,85814090
2019-04-01,215.05,217.7,218.11,215.01,51803650
2019-04-02,218.75,218.23,219.32,216.8,49230090
2019-04-03,220.1,219.05,224.16,218.88,92738080
2019-04-04,218.49,221.8,221.85,218.01,51964100
2019-04-05,222.6,227.5,227.7,222.03,78052850
2019-04-08,227.93,232.3,232.3,227.9,70857870
2019-04-09,233.5,238.0,238.9,232.39,117431200
2019-04-10,239.0,243.68,245.25,237.94,129370870
2019-04-11,244.4,238.86,247.23,238.86,105413510
2019-04-12,240.0,239.5,243.15,237.0,96227220
2019-04-15,240.35,237.8,242.3,237.06,47884980
2019-04-16,239.0,233.24,239.5,232.32,86433710
